loan_number,condition,depth
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados:  el diseño del Informe Complementario al Presupuesto Nacional 2008 con los indicadores y metas de resultado del ejercicio presupuestario 2007;,Low
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: y (vi) evidencia de la actualización de las nuevas Circulares de Presupuesto plurianual,Medium
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: y (vi) evidencia de la implementación de las nuevas Circulares de Presupuesto plurianual,Low
AR-L1009,(b) Integración de fondos y organismos al Presupuesto Nacional de acuerdo al Régimen Federal de Responsabilidad Fiscal: que se han presentado: (i) un informe con las disposiciones incorporadas en el proyecto de ley de presupuesto 2007 relaciona,Medium
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: que (i) se ha presentado el diseño de la metodología de estimación dinámica de las obligaciones de pago,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: se ha incorporado en el proyecto de presupuesto del 2007 las previsiones presupuestarias destinadas al,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: se ha incorporado en las proyecciones del Presupuesto plurianual los estimativos de los cupones a pagar,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: y se ha presentado un informe sobre los procedimientos de licitación y liquidación que se utilizarán en,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: se ha incorporado en el proyecto de presupuesto del 2007 las previsiones presupuestarias destinadas a l,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: se ha incorporado en las proyecciones del Presupuesto plurianual los estimativos de la recompra de deud,Low
AR-L1009,"(b) Actualización de criterios y estrategias de la política de financiamiento del Estado: que se han presentado: (i) una cuantificación de las necesidades de financiamiento del Gobierno Nacional para el período 2007-2009, de acuerdo con los req",Low
AR-L1009,"(b) Actualización de criterios y estrategias de la política de financiamiento del Estado: y un documento de políticas, criterios y estrategias de financiamiento del Gobierno Nacional, consistente con lo estipulado en la Leyes de Solvencia Fisca",Low
AR-L1009,(c ) Mejora de los Sistemas de Información sobre la Deuda Pública para adecuarlas a las exigencias de la Ley de Responsabilidad Fiscal y a las nuevas modalidades de endeudamiento: que: (i) se ha presentado un informe de resultados sobre el fort,Low
AR-L1009,(c ) Mejora de los Sistemas de Información sobre la Deuda Pública para adecuarlas a las exigencias de la Ley de Responsabilidad Fiscal y a las nuevas modalidades de endeudamiento: se ha elaborado una nueva metodología de presentación de la docu,Low
AR-L1009,(b) Integración de fondos y organismos al Presupuesto Nacional de acuerdo al Régimen Federal de Responsabilidad Fiscal: un documento con el diagnóstico y propuestas de política para resolver las principales rigideces del proceso de Administraci,Low
AR-L1009,(b) Integración de fondos y organismos al Presupuesto Nacional de acuerdo al Régimen Federal de Responsabilidad Fiscal: evidencia de que se ha presentado el Proyecto de Ley de Presupuesto 2007 al Congreso de la Nación con las disposiciones menc,Medium
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): que se han presentado: (i) un informe con las 10 instalaciones realizadas en el 2006 identificadas en cumplimiento del inciso (f)(i) de la Cláusula 3.04 de estas Estipulaciones Especi,Low
AR-L1009,"(c) Modernización del Sistema de Gestión Financiera (SIDIF): un cronograma y listado de futuras intervenciones consistentes con el proyecto SIDIF Internet Integral, ",Low
AR-L1009,"(c) Modernización del Sistema de Gestión Financiera (SIDIF): e informes SIDIF Internet Integral que incluyan el desarrollo del modelo conceptual, Cronograma, Costos de implementación ",Low
AR-L1009,(c ) Mejora de los Sistemas de Información sobre la Deuda Pública para adecuarlas a las exigencias de la Ley de Responsabilidad Fiscal y a las nuevas modalidades de endeudamiento: y se ha reformulado la página web del Ministerio de Economía y P,Low
AR-L1009,"(d) Generación de Información sobre Contingencias Fiscales y Pasivos Contingentes: que se han presentado los resultados del estudio indicado en el inciso (k) de la Cláusula 3.04 de estas Estipulaciones Especiales, cumpliendo sustancialmente con",Low
BA-L1022,"that the Sustainable Energy Policy Framework Proposal has been presented to Cabinet, which includes a RE Section containing the following: (i) RE generation potential; (ii) indicative targets for RE; (iii) recommendations for RE policy and legi",Medium
BA-L1022,"that the Rider to introduce special tariffs and terms for RE projects, including the Sustainable Energy Framework (SEF) pilot project, has been approved by the Fair Trading Commission (FTC);",High
BA-L1022,"that the Sustainable Energy Policy Framework Proposal has been presented to Cabinet, which includes an EE Section containing the following: (i) EE potential by sector; (ii) indicative targets for EE by sector; (iii) recommendations for EE polic",Medium
BA-L1022,"that the policy recommendations for a phase-out plan for incandescent lamps, based on the SEF pilot program, which will distribute Compact Fluorescent Lamps (CFLs) and power monitors, has been presented to Cabinet;",Medium
BA-L1022,that the resolution to establish a RE unit in Barbados National Oil Company Limited (BNOCL) has been approved by the Board of BNOCL;,Medium
BA-L1022,that the Environmental and Social Policy Assessment of alternatives for the sustainability of the sugar cane sector for Barbados is in preparation;,Low
BA-L1022,"that the Government of Barbados, through National Petroleum Company (NPC), has agreed on the Terms of Reference (TORs) for a policy analysis and formulation of recommendations for: (i) upgrading and expanding the natural gas transmission and di",Low
BA-L1022,"that the Sustainable Energy Policy Framework Proposal has been presented to Cabinet, which includes a GHG Emission Reduction Section containing the GHG emissions’ reduction potential and recommendations for doing so;",Medium
BA-L1022,that the design for RE projects under SEF pilot project and the “Smart Energy Fund” will incorporate resilience to climate change impacts;,Low
BA-L1022,"that the Sustainable Energy Policy Framework Proposal has been presented to Cabinet, which includes an institutional strengthening section containing recommendations for: (i) institutional strengthening and capacity building for key entities of",Medium
BA-L1021,"Sustainable Energy Policy Framework, including:  (i) Cabinet approval of the RE policy and its entry into effect, and  (ii) RE draft legislation prepared by Chief Parliamentary Counsel (CPC) and approved by the Cabinet, which will allow 5-10 MW",High
BA-L1021,that the “Energy Smart Fund” to promote investment in RE has been created and capitalized and is operational; (in the matrix is included but it does not in the contract: This policy measure includes: (i) Agreement between the Government of Barb,High
BA-L1021,"that the Sustainable Energy Framework (SEF) pilot project is in implementation. Following the approval of the Rider to introduce special tariffs and terms for RE projects, the utility company (Barbados Light & Power) has made provisions for the",Medium
BA-L1021,"Sustainable Energy Policy Framework, including Cabinet approval of the EE policy and its entry into effect, which will allow at least 2,000 MWh/yr saved by implementation of the SEF pilot project; ",High
BA-L1021,that the “Energy Smart Fund” to promote investments in EE has been created and is capitalized and operational; (LP also includes: This policy measure includes: (i) Agreement between the Government of Barbados and the sub-executing agency EGFL f,High
BA-L1021,"Cabinet approval of the phase-out plan for incandescent lamps, based on the implementation of the SEF pilot project (which shall distribute at least 15,000 Compact Fluorescent Lamps (CFLs) and at least 3,000 power monitors);",High
BA-L1021,"that the RE unit in Barbados National Oil Company Limited (BNOCL) has been established, is operational and has started the pilot projects for: (i) the replacement of methyl tertiary-butyl ether (MTBE) with ethanol and E10 (10% ethanol and 90% g",Medium
BA-L1021,"that the recommendations from the Environmental and Social Policy Assessment of alternatives for the sustainability of the sugar cane sector have been finalized, and the final document has been presented by the Ministry of Agriculture, Food, Fi",Medium
BA-L1021,"that the policy recommendations for (i) upgrading and expanding the natural gas transmission and distribution network and (ii) improving the efficiency and sustainability of fossil fuels consumption, have been finalized, and the final document ",Medium
BA-L1021,that the recommendations for drafting of an NSEP have been finalized and the final document has been presented by ETD to Cabinet for discussion;,Medium
BA-L1021,that the Nationally Appropriate Mitigation Action (NAMA) for RE and EE is in preparation by the ETD and the Ministry of Environment and Drainage;,Low
BA-L1021,"that the RE projects funded under the SEF pilot project and the “Energy Smart Fund” require the incorporation of resilience to climate change measures as part of their execution, where appropriate;",Low
BA-L1021,Cabinet approval of the Capacity and Institutional Strengthening Plan of the Energy Sector containing the recommendations for: (i) institutional strengthening and capacity building for key entities of the energy sector; (ii) supporting public e,High
BA-L1021,that the public education and awareness program to promote RE and EE is in execution.,Medium
BL-L1001,"The Borrower has prepared a new oil tax law, that will ensure the transparent management of the oil revenues through the national budget, and it has been approved by the Parliament and has entered into effect.",High
BL-L1001,The Government has made a formal presentation to creditors of its debt restructuring proposal.,Low
BL-L1001,"The Borrower has prepared an amendment to the DFC Act which has been approved by the Parliament and has entered into effect, by means of which: (i) DFC’s functions are pared down to the minimum operational capacity required to perform its funct",High
BL-L1001,The Borrower has selected the auditing firm which will perform a forensic audit of the DFC and has informed the National Trade Union Congress of Belize of its decision.,Low
BL-L1001,The Borrower has prepared a General Sales Tax (GST) and it has been approved by the Parliament and has entered into effect; and,High
BL-L1001,The Borrower is implementing the following recommendations from the public expenditure review (PER) and fiscal study: (i) increase in business tax general rates in average from 1.25% to 1.75%; (ii) sales tax on electricity sales to households f,High
BL-L1001,The Borrower has opened a special account at the Central Bank to manage the oil resources and has included them in the National Budget.,Medium
BL-L1001,The Borrower has reached an agreement for its public debt restructuring with most if not all its external commercial creditors.,High
BL-L1001,"DFC is carrying out its liquidation process and therefore has extinguished its new lending, new borrowing and new direct investment project activities not related with the NAS documents; and ",Medium
BL-L1001,The Borrower has received and has made public the report from the auditing firm regarding the forensic audit performed on the DFC.,Medium
BL-L1001,The Borrower has prepared a master plan and schedule for reforming the Customs Administration and it has been approved by the Government; and,Low
BL-L1001,The Borrower has implemented the following recommendations from the public expenditure review (PER) and fiscal study: (i) modernization of payroll system; (ii) strengthening of the budget analysis unit; (iii) reduction in domestically financed,Medium
BO-L1005,"Que el Prestatario haya presentado al Congreso Nacional el Proyecto de Ley de Presupuestos Públicos, el cual deberá contener medidas que estimulen la transparencia, la mejora de la calidad del gasto, el logro de resultados y la garantía de la s",Medium
BO-L1005,"Que el Prestatario haya enviado al Congreso Nacional el Proyecto de Ley Financial del Presupuesto General de la Nación para el año fiscal 2006 (PGN–2006) que incorpore conceptos de gestión por resultados (objetivos priorizados, indicadores y di",Low
BO-L1005,Que el Prestatario haya aprobado las Normas Básicas del Sistema de Presupuesto actualizadas y las Normas Básicas del Sistema de Programación de Operaciones;,Medium
BO-L1005,Que el Prestatario haya aprobado el Clasificador Presupuestario y las directrices presupuestarias para la gestión 2006 incorporando la clasificación por finalidad y funciones del gasto; y,Low
BO-L1005,"Que el Prestatario haya acordado con el Banco los términos de referencia para la contratación de servicios de consultoría para el diagnóstico y estudio de factibilidad de la racionalización e integración de los sistemas de información, basado e",Low
BO-L1005,Que el Prestatario haya demostrado la capacidad del SIGMA de generar: (i) reportes automáticos de formulación presupuestaria incorporando la clasificación funcional del gasto para el proyecto de PGN-2006; y (ii) Estados Financieros Comparativos,Low
BO-L1005,Que el Prestatario haya iniciado la implantación del SIGMA en al menos 3 municipios (adicionales a La Paz y Cochabamba).,Medium
BO-L1005,Que el Prestatario haya creado el sistema de registro de los rentistas y funcionarios públicos de las entidades que centralizan sus registros y nóminas (planillas) en el VMTCP que son pagados por el Tesoro General de la Nación (TGN) utilizando,Medium
BO-L1005,Que el Prestatario haya concluido la prueba piloto de 30.000 registros biométricos de rentistas y funcionarios públicos de las entidades que centralizan sus registros y nóminas (planillas) en el VMTCP que son pagados por elTGN;,Medium
BO-L1005,Que el Prestatario haya actualizado el Plan de Lucha contra el Fraude aprobado para el cumplimiento de la  Cláusula 3.04 del Contrato de Préstamo 1127/SF-BO suscrito entre el Prestatario y el Banco; y,Low
BO-L1005,Que el Prestatario haya actualizado el Plan de Lucha contra la Morosidad aprobado para el cumplimiento de la Cláusula 3.04 del Contrato de Préstamo 1127/SF-BO suscrito entre el Prestatario y el Banco.,Low
BO-L1005,"Que se hayan firmado convenios entre la Delegación Presidencial para la Transparencia y la Integridad Pública (DPTIP), el Ministerio de la Presidencia y cuatro (4) entidades piloto de la Administración Central y Descentralizada para la implemen",Medium
BO-L1005,Que se haya promulgado el Decreto Supremo de acceso a la información;,High
BO-L1005,Que se haya elaborado y presentado al Ministerio de la Presidencia el Proyecto de Decreto Supremo Reglamentario de la rendición de cuentas en la Ley de Sistema de Administración Financiera y Control Gubernamentales (Art. 5 de la Ley SAFCO Nro.,Low
BO-L1005,Que se haya elaborado y presentado al Ministerio de la Presidencia el Proyecto de Decreto Supremo de fortalecimiento e institucionalización de las Unidades de Auditoría Interna.,Low
BO-L1010,"Que se haya presentado a la Asamblea Legislativa Plurinacional el Proyecto de la Ley de Gestión Presupuestaria, considerando la integración de las etapas del ciclo presupuestario, acorde con la nueva Constitución Política del Estado;",Medium
BO-L1010,"Que se haya elaborado un marco macro-fiscal de mediano plazo que sirva de referencia a los procesos de planificación y presupuesto, y  se haya formalizado el mecanismo para su actualización en el MEFP, con participación del Ministerio de Planif",Medium
BO-L1010,"Que se haya desarrollado el módulo del Sistema Integrado de Gestión y Modernización Administrativa (“SIGMA”) para la generación de información gerencial e implementación en carácter piloto en el MEFP, el MPD y el Ministerio de la Presidencia; y",Low
BO-L1010,Que se hayan firmado los Convenios de Gestión para el año en curso entre el MEFP y por lo menos 3 entidades y se haya cumplido al menos un 70% de las metas intermedias de acuerdo con los tiempos acordados.,Medium
BO-L1010,"Que se hayan desarrollado los módulos de presupuesto, tesorería y contabilidad del SIGMA-Web, y que los mismos se encuentren en prueba piloto en 3 entidades del Gobierno Central;",Medium
BO-L1010,Que se haya aprobado la normativa del MEFP por medio de la cual se establece que las Entidades Territoriales (“ET”) deberán registrar y mantener actualizada toda su información de deuda en el Sistema de Administración e Información de la Deuda,Medium
BO-L1010,"Que se haya realizado el cruce de información de la base de datos administrada por el Servicio Nacional del Sistema de Reparto (“SENASIR”) con la base de datos del Programa Renta Dignidad, para la identificación de pagos de beneficios indebidos",Medium
BO-L1010,Que se haya desarrollado y aprobado la normativa que establece un plan de cuentas contable armonizado para las empresas públicas; y,Medium
BO-L1010,Que se haya elaborado el informe técnico del MEFP que orientará la elaboración de un marco legal para el endeudamiento público del Estado Plurinacional de Bolivia;,Low
BO-L1010,"Que se haya aprobado el Decreto Supremo por medio del cual se establece: (i) con base en el criterio del volumen de recursos que manejan y tamaño de su estructura administrativa, la obligatoriedad para las entidades públicas de contar con una U",Medium
BO-L1010,Que se hayan elaborado y aprobado los reglamentos para el funcionamiento de las Unidades de Transparencia en 10 entidades gubernamentales.,Medium
BO-L1010,Que 20 Ministerios hayan realizado rendiciones públicas de cuentas en audiencias públicas,Medium
BO-L1010,Que se haya aprobado la Resolución de la Contraloría General del Estado (“CGE”) estableciendo pautas para la publicación de los informes de auditoría interna en el portal de transparencia institucional de la CGE;,High
BO-L1081,"Que se haya formulado el presupuesto plurianual en diez empresas públicas nacionales que comprenda, al menos, el 60% del presupuesto de la Administración Pública Central;",Medium
BO-L1081,"Que se haya formulado el presupuesto plurianual en al menos cinco entidades públicas del Gobierno Central, cuyo presupuesto conjunto sea equivalente, al menos, al 5% del Presupuesto de la Administración Pública Central;",Medium
BO-L1081,Que se haya elaborado y distribuido a las entidades del sector público el Manual de Modificaciones y Compendio de Normas Presupuestarias;,Low
BO-L1081,Que se hayan incorporado en la formulación presupuestaria para la gestión 2014 las variables macroeconómicas establecidas a partir del marco macro-fiscal;,Medium
BO-L1081,"Que se hayan incorporado las variables macroeconómicas establecidas en el marco macro-fiscal al presupuesto plurianual de 10 empresas públicas nacionales, a partir del ciclo presupuestario 2013;",Medium
BO-L1081,"Que se haya implementado en todos los ministerios de la Administración Central y en 5 empresas públicas nacionales la herramienta de apoyo para la generación de información gerencial, que contenga información sobre ejecución presupuestaria del ",Medium
BO-L1081,"Que se hayan firmado convenios de gestión con 7 entidades públicas de la Administración Central, y se haya avanzado sustancialmente en la ejecución de los mismos;",Medium
BO-L1081,Que se hayan integrado en las Directrices Presupuestarias para el Presupuesto 2014 los objetivos de gestión institucional de las entidades públicas con la programación presupuestaria para la formulación del Presupuesto General del Estado; y,Medium
BO-L1081,"Que se hayan incluido en las Directrices de Inversión Pública para la Formulación del Presupuesto 2014 lineamientos y procedimientos para: (i) la formulación del presupuesto de inversión para las diferentes entidades del nivel central, las empr",Medium
BO-L1081,"Que se haya avanzado en la política de expansión de la cobertura de los sistemas de gestión fiscal: (i) Sistema Integrado de Gestión Pública (SIGEP) en línea implantado y operando con los módulos de presupuesto, tesorería y contabilidad en 110 ",Medium
BO-L1081,"Que se haya consolidado la política de estandarización y centralización de la información fiscal de la administración pública central y subnacional, mediante el uso de formatos estandarizados para el envío de información al MEFP.",Medium
BO-L1081,"Que se haya avanzado en la política de intercambio de información, en cumplimiento de la Resolución Biministerial 002 de 19 de agosto de 2011, mediante la definición de protocolos de intercambio  automático de información entre el Sistema de In",Medium
BO-L1081,"Que se haya elaborado un plan de acción, que incluya recursos financieros y cronograma, para el desarrollo e implantación de los siguientes módulos del SIGEP: (i) Módulo web de administración de deuda para entidades subnacionales (SAIDS) integr",Low
BO-L1081,Que se hayan realizado pruebas de funcionamiento de la publicación de convocatorias para contrataciones estatales con la correspondiente afectación presupuestaria en el Módulo de Contrataciones del SIGEP.,Low
BO-L1081,Que se haya realizado una prueba de funcionamiento del Módulo de pago electrónico subnacional del SIGEP en una entidad territorial.,Low
BO-L1081,Que se haya implementado la nueva plataforma informática de recopilación de información financiera para la generación de cifras fiscales Sistema Integrado de Estadísticas Territoriales (SIET) en al menos 80 entidades públicas subnacionales.,Medium
BO-L1081,"Que se haya avanzado en la política de control de pagos indebidos de beneficios, mediante el cruce de información de las bases de datos del Servicio Nacional del Sistema de Reparto (SENASIR), Autoridad de Pensiones y Seguros (APS) y Servicio Ge",Medium
BO-L1081,"Que se haya expandido la política de intercambio de información sobre beneficiarios del sistema de reparto mediante la firma de un convenio de cooperación interinstitucional entre el Tribunal Supremo Electoral (TSE), el MEFP, el Viceministerio ",Medium
BO-L1081,Que se haya adaptado el módulo de contabilidad del SIGEP para el registro del plan de cuentas armonizado para las empresas públicas.,Medium
BO-L1081,"Que se haya realizado la evaluación semestral de las actividades económicas, financieras y de gestión de las empresas públicas nacionales.",Medium
BO-L1081,Que se haya realizado una prueba de funcionamiento en una entidad pública del módulo de gestión contable de proyectos financiados con recursos externos del SIGEP.,Low
BO-L1081,Que se haya creado el Registro Único de Proveedores del Estado que acredita a los proveedores del Estado a nivel nacional.,Medium
BO-L1081,"Que se haya mejorado la política de contrataciones estatales, a través de la inclusión, en los Documentos Base de Contratación, de reglas sobre: (i) criterios de subsanabilidad; (ii) aclaración de métodos de selección; (iii) uso de garantías y ",Medium
BO-L1081,"Que se haya implementado la política de difusión de buenas prácticas en adquisiciones, a través de la publicación y difusión de Cartillas, que contengan pautas sobre: (i) criterios de subsanabilidad, (ii) garantías, (iii) criterios de selección",Medium
BO-L1081,"Que se haya efectuado el registro biométrico de al menos el 10% de la población de Rentistas (Titulares y derechohabientes) y Beneficiarios de Pensiones Vitalicias (Beneméritos, Viudas de Beneméritos e Inválidos de Guerra).",Medium
BO-L1081,Que se haya efectuado el registro biométrico de al menos 85% de las personas que no son rentistas y sean beneficiarias de la Renta Dignidad en 2012.,Medium
BO-L1081,"Que se haya implementado la política de transparencia en las adquisiciones estatales, con la publicación en internet de un catálogo de proveedores a nivel nacional, con la información de la oferta de bienes y servicios.",Low
BO-L1081,"Que se haya expandido la cobertura de entidades que realizan procesos anuales de rendición pública de cuentas: (i) se incorporan al programa de rendición pública de cuentas 50 municipios y 5 gobernaciones, y (ii) se realiza una rendición públic",Medium
BO-L1081,Que se haya presentado evidencia de la promulgación de la ley que regula el ejercicio del control social acorde con la nueva Constitución Política del Estado.,Medium
BO-L1061,"(Este commitment es para cumplirse antes de la aprobacion del financiamiento) Presentación a la Asamblea Legislativa Plurinacional del Proyecto de la Ley Marco de Autonomía y Descentralización (LMAD), la cual prevea en su articulado: (i) el est",Medium
